Agency Responsible for Deaths,Deaths
St. Louis Metropolitan Police Department,95
Kansas City Police Department,90
St. Louis County Police Department,35
Springfield Police Department,18
Missouri State Highway Patrol,17
Independence Police Department,17
St. Joseph Police Department,10
St. Charles Police Department,7
Jasper County Sheriff's Office,5
Greene County Sheriff's Office,5
O'Fallon Police Department,5
Raytown Police Department,5
Jefferson City Police Department,5
Jefferson County Sheriff's Office,4
Florissant Police Department,4
Stone County Sheriff's Office,3
"St. Louis County Park Rangers, St. Louis County Police Department",3
Joplin Police Department,3
Jackson County Sheriff's Office,3
U.S. Federal Bureau of Investigation,3
Clay County Sheriff's Office,3
St. Charles County Sheriff's Office,3
Cape Girardeau Police Department,3
U.S. Marshals Service,3
Columbia Police Department,3
Boone County Sheriff's Office,3
Lincoln County Sheriff's Office,2
Warrensburg Police Department,2
Pine Lawn Police Department,2
Christian County Sheriff's Office,2
Newton County Sheriff's Office,2
"U.S. Marshals Service, Greene County Sheriff's Office",2
Blue Springs Police Department,2
"Springfield Police Department, Greene County Sheriff's Office",2
Branson Police Department,2
Vernon County Sheriff's Office,2
"St. Louis Metropolitan Police Department, U.S. Marshals Service",2
Lafayette County Sheriff's Office,2
Berkeley Police Department,2
Hannibal Police Department,2
"Missouri State Highway Patrol, Webster County Sheriff's Office",2
Washington County Sheriff's Office,2
Johnson County Sheriff's Office,2
Morgan County Sheriff's Office,2
Aurora Police Department,2
St. Louis County Sheriff's Office,2
Ferguson Police Department,2
Callaway County Sheriff's Office,2
Taney County Sheriff's Office,2
Maryland Heights Police Department,2
Kansas CIty Police Department,2
Wentzville Police Department,2
"U.S. Drug Enforcement Administration, Dellwood Police Department",2
Missouri State Corrections Officer,2
Pettis County Sheriff's Office,2
Butler County Sheriff's Office,2
Pagedale Police Department,2
Missouri Department of Corrections,2
Franklin County Sheriff's Office,2
Excelsior Springs Police Department,2
Cedar County Sheriff's Office,1
"Bates County Sheriff’s Office, Adrian Police Department",1
"Franklin County Sheriff's Office, New Haven Police Department, Missouri State Highway Patrol",1
Senath Police Department,1
Dekalb County Sheriff's Office,1
"Columbia Police Department, University of Missouri Police Department",1
Montgomery County Sheriff's Office,1
"Riverside Police Department, Kansas City Police Department, Gladstone Police Department, North Kansas City Police Department",1
Pittsburg Police Department,1
"Johnson County Sheriff's Office, Missouri State Highway Patrol",1
St. Clair County Sheriff's Office,1
Marionville Police Department,1
Fulton Police Department,1
Overland Police Department,1
Ste. Genevieve County Sheriff's Office,1
"Normandy Police Department, Ferguson Police Department",1
"Leadington Police Department, Desloge Police Department, Bonne Terre Police Department, Jefferson County Sheriff's Office, Missouri State Highway Patrol",1
Ironton Police Department,1
Nixa Police Department,1
"Farmington Police Department, Missouri State Highway Patrol, St. Francois County Sheriff's Office",1
Randolph County Sheriff's Office,1
"Clay County Sheriff's Office, Liberty Police Department",1
Louisiana Police Department,1
"St. Charles County Sheriff's Office, St. Louis County Police Department",1
"Missouri State Highway Patrol, California Police Department",1
"Rolla Police Department, Missouri State Highway Patrol",1
Belton Police Department,1
"Versailles Police Department, Morgan County Sheriff's Office",1
"Jefferson County Sheriff's Office, Pevely Police Department",1
Ozark Police Department,1
Jackson Police Department,1
"Laclede County Sheriff's Office, Missouri State Highway Patrol",1
St. Louis Community College Police Department,1
Southwest City Police Department,1
Republic Police Department,1
"Missouri State Highway Patrol, Columbia Police Department",1
"Callaway County Sheriff's Office, Missouri State Highway Patrol",1
Manchester Police Department,1
"Buchanan County Sheriff's Office, St. Joseph Police Department",1
Alton Police Department,1
Richmond Heights Police Department,1
Cuba Police Department,1
Kirkwood Police Department,1
Kansas City (MO) Police Department,1
"Jefferson County Sheriff's Office, Herculaneum Police Department, Festus Police Department",1
"Missouri State Highway Patrol, Bates County Sheriff's Office, Cass County Sheriff's Office",1
"Missouri State Highway Patrol, Taney County Sheriff's Office",1
Cabool Police Department,1
Pacific Police Department,1
Pemiscot County Sheriff's Office,1
"Polk County Sheriff's Office, Fair Play Police Department",1
"Missouri State Highway Patrol, Maries County Sheriff's Office",1
"Perryville Police Department, Perry County Sheriff's Office, Missouri State Highway Patrol",1
"Neosho Police Department, Diamond Police Department, Newton County Sheriff's Office",1
U.S. National Park Service,1
"Missouri State Highway Patrol, Jackson County Sheriff's Office",1
"Clay County Sheriff's Office, Kearney Police Department",1
"Brentwood Police Department, St. Louis County Police Department",1
Velda City Police Department,1
Rock Hill Police Department,1
Dunklin County Sheriff's Office,1
"Sikeston Department of Public Safety, Miner Police Department, Missouri State Highway Patrol",1
"Lakeshire Police Department, St. Louis County Police Department",1
Cole County Sheriff's Office,1
"Cole County Sheriff's Office, Jefferson City Police Department, Missouri State Highway Patrol",1
Carterville Police Department,1
"Missouri State Highway Patrol, Platte County Sheriff's Office",1
University City Police Department,1
Douglas County Sheriff's Office,1
Sedalia Police Department,1
Pulaski County Sheriff's Office,1
Poplar Bluff Police Department,1
Bonne Terre Police Department,1
Harrison County Sheriff's Office,1
Andrew County Sheriff's Office,1
Bourbon Police Department,1
Buchanan County Sheriff's Office,1
"St. Louis County Police Department, Jefferson County Sheriff's Office, Franklin County Sheriff's Office",1
